/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 123, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.7523 | Val 0.5683 | Full 0.6014
Epoch 002 | Loss 1.3635 | Val 0.6259 | Full 0.6935
Epoch 003 | Loss 0.9496 | Val 0.7266 | Full 0.8072
Epoch 004 | Loss 0.6530 | Val 0.8201 | Full 0.8417
Epoch 005 | Loss 0.5505 | Val 0.8561 | Full 0.8964
Epoch 006 | Loss 0.3349 | Val 0.9424 | Full 0.9338
Epoch 007 | Loss 0.2232 | Val 0.9712 | Full 0.9755
Epoch 008 | Loss 0.1614 | Val 0.9784 | Full 0.9784
Epoch 009 | Loss 0.0942 | Val 0.9496 | Full 0.9655
Epoch 010 | Loss 0.0898 | Val 0.9856 | Full 0.9813
Epoch 011 | Loss 0.1352 | Val 0.9856 | Full 0.9928
Epoch 012 | Loss 0.1078 | Val 0.9856 | Full 0.9856
Epoch 013 | Loss 0.0664 | Val 0.9928 | Full 0.9942
Epoch 014 | Loss 0.0345 | Val 0.9712 | Full 0.9741
Epoch 015 | Loss 0.0745 | Val 0.9856 | Full 0.9928
Epoch 016 | Loss 0.0493 | Val 0.9928 | Full 0.9957
Epoch 017 | Loss 0.0342 | Val 0.9928 | Full 0.9957
Epoch 018 | Loss 0.0369 | Val 0.9928 | Full 0.9957
Epoch 019 | Loss 0.0471 | Val 0.9856 | Full 0.9957
Epoch 020 | Loss 0.0326 | Val 0.9784 | Full 0.9942
Epoch 021 | Loss 0.0381 | Val 0.9856 | Full 0.9957
Epoch 022 | Loss 0.0582 | Val 0.9712 | Full 0.9871
Epoch 023 | Loss 0.0308 | Val 0.9928 | Full 0.9986
Epoch 024 | Loss 0.0148 | Val 0.9353 | Full 0.9655
Epoch 025 | Loss 0.0577 | Val 0.9928 | Full 0.9957
Epoch 026 | Loss 0.0232 | Val 0.9928 | Full 0.9986
Epoch 027 | Loss 0.0158 | Val 0.9928 | Full 0.9957
Epoch 028 | Loss 0.0118 | Val 0.9856 | Full 0.9942
Epoch 029 | Loss 0.0242 | Val 0.9784 | Full 0.9928
Epoch 030 | Loss 0.0562 | Val 0.9712 | Full 0.9914
Epoch 031 | Loss 0.0526 | Val 0.9856 | Full 0.9942
Epoch 032 | Loss 0.0867 | Val 0.9856 | Full 0.9957
Epoch 033 | Loss 0.0770 | Val 0.9928 | Full 0.9957
Epoch 034 | Loss 0.0094 | Val 0.9928 | Full 0.9986
Epoch 035 | Loss 0.0101 | Val 0.9856 | Full 0.9971
Epoch 036 | Loss 0.0186 | Val 0.9856 | Full 0.9957
Epoch 037 | Loss 0.0121 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0064 | Val 0.9928 | Full 0.9986
Epoch 039 | Loss 0.0158 | Val 0.9928 | Full 0.9986
Epoch 040 | Loss 0.0290 | Val 0.9928 | Full 0.9971
Epoch 041 | Loss 0.0052 | Val 0.9928 | Full 0.9986
Epoch 042 | Loss 0.0107 | Val 0.9856 | Full 0.9971
Epoch 043 | Loss 0.0133 | Val 0.9784 | Full 0.9957
Epoch 044 | Loss 0.0277 | Val 0.9712 | Full 0.9914
Epoch 045 | Loss 0.0210 | Val 0.9928 | Full 0.9986
Epoch 046 | Loss 0.0063 | Val 0.9856 | Full 0.9971
Epoch 047 | Loss 0.0079 | Val 0.9928 | Full 0.9986
Epoch 048 | Loss 0.0055 | Val 0.9928 | Full 0.9986
Epoch 049 | Loss 0.0106 | Val 0.9928 | Full 0.9986
Epoch 050 | Loss 0.0015 | Val 0.9856 | Full 0.9971
Epoch 051 | Loss 0.0069 | Val 0.9856 | Full 0.9971
Epoch 052 | Loss 0.0316 | Val 0.9856 | Full 0.9971
Epoch 053 | Loss 0.0281 | Val 0.9856 | Full 0.9971
Epoch 054 | Loss 0.0050 | Val 1.0000 | Full 1.0000
Epoch 055 | Loss 0.0040 | Val 0.9856 | Full 0.9971
