/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 55, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.7285 | Val 0.4676 | Full 0.5353
Epoch 002 | Loss 1.0739 | Val 0.6691 | Full 0.7165
Epoch 003 | Loss 0.7799 | Val 0.8129 | Full 0.8417
Epoch 004 | Loss 0.5633 | Val 0.8561 | Full 0.8604
Epoch 005 | Loss 0.4370 | Val 0.8705 | Full 0.8950
Epoch 006 | Loss 0.4211 | Val 0.9065 | Full 0.9281
Epoch 007 | Loss 0.2701 | Val 0.9281 | Full 0.9410
Epoch 008 | Loss 0.1607 | Val 0.9353 | Full 0.9612
Epoch 009 | Loss 0.1083 | Val 0.9424 | Full 0.9727
Epoch 010 | Loss 0.1250 | Val 0.9640 | Full 0.9899
Epoch 011 | Loss 0.1449 | Val 0.8921 | Full 0.9281
Epoch 012 | Loss 0.1065 | Val 0.9209 | Full 0.9683
Epoch 013 | Loss 0.0840 | Val 0.9568 | Full 0.9813
Epoch 014 | Loss 0.0756 | Val 0.9712 | Full 0.9727
Epoch 015 | Loss 0.1057 | Val 0.9496 | Full 0.9698
Epoch 016 | Loss 0.1250 | Val 0.9353 | Full 0.9741
Epoch 017 | Loss 0.0492 | Val 0.9568 | Full 0.9871
Epoch 018 | Loss 0.0392 | Val 0.9568 | Full 0.9856
Epoch 019 | Loss 0.0791 | Val 0.9640 | Full 0.9871
Epoch 020 | Loss 0.0910 | Val 0.9640 | Full 0.9885
Epoch 021 | Loss 0.0644 | Val 0.9712 | Full 0.9885
Epoch 022 | Loss 0.0520 | Val 0.9712 | Full 0.9942
Epoch 023 | Loss 0.1009 | Val 0.9784 | Full 0.9885
Epoch 024 | Loss 0.0570 | Val 0.9784 | Full 0.9914
Epoch 025 | Loss 0.0723 | Val 0.9856 | Full 0.9885
Epoch 026 | Loss 0.0605 | Val 0.9784 | Full 0.9957
Epoch 027 | Loss 0.0766 | Val 0.9640 | Full 0.9842
Epoch 028 | Loss 0.0506 | Val 0.9712 | Full 0.9856
Epoch 029 | Loss 0.0499 | Val 0.9712 | Full 0.9842
Epoch 030 | Loss 0.0954 | Val 0.9712 | Full 0.9827
Epoch 031 | Loss 0.0457 | Val 0.9856 | Full 0.9928
Epoch 032 | Loss 0.0230 | Val 0.9640 | Full 0.9871
Epoch 033 | Loss 0.0185 | Val 0.9856 | Full 0.9957
Epoch 034 | Loss 0.0113 | Val 0.9856 | Full 0.9971
Epoch 035 | Loss 0.0094 | Val 0.9856 | Full 0.9971
