/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 0, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.7120 | Val 0.6115 | Full 0.6691
Epoch 002 | Loss 1.1788 | Val 0.5252 | Full 0.5583
Epoch 003 | Loss 1.0076 | Val 0.7410 | Full 0.8072
Epoch 004 | Loss 0.6916 | Val 0.6906 | Full 0.7439
Epoch 005 | Loss 0.6481 | Val 0.7482 | Full 0.8086
Epoch 006 | Loss 0.5491 | Val 0.8201 | Full 0.8763
Epoch 007 | Loss 0.5371 | Val 0.7626 | Full 0.8691
Epoch 008 | Loss 0.3826 | Val 0.8058 | Full 0.9036
Epoch 009 | Loss 0.2733 | Val 0.8417 | Full 0.9295
Epoch 010 | Loss 0.2440 | Val 0.7986 | Full 0.8806
Epoch 011 | Loss 0.3138 | Val 0.8489 | Full 0.9122
Epoch 012 | Loss 0.3559 | Val 0.8705 | Full 0.9165
Epoch 013 | Loss 0.2026 | Val 0.8777 | Full 0.9453
Epoch 014 | Loss 0.2010 | Val 0.8561 | Full 0.9367
Epoch 015 | Loss 0.1815 | Val 0.8921 | Full 0.9410
Epoch 016 | Loss 0.1197 | Val 0.8777 | Full 0.9453
Epoch 017 | Loss 0.1707 | Val 0.8921 | Full 0.9525
Epoch 018 | Loss 0.1455 | Val 0.8633 | Full 0.9410
Epoch 019 | Loss 0.1824 | Val 0.8921 | Full 0.9468
Epoch 020 | Loss 0.1393 | Val 0.9353 | Full 0.9669
Epoch 021 | Loss 0.1391 | Val 0.9137 | Full 0.9597
Epoch 022 | Loss 0.1193 | Val 0.9137 | Full 0.9568
Epoch 023 | Loss 0.0878 | Val 0.9281 | Full 0.9727
Epoch 024 | Loss 0.1310 | Val 0.9209 | Full 0.9683
Epoch 025 | Loss 0.0811 | Val 0.9784 | Full 0.9928
Epoch 026 | Loss 0.1245 | Val 0.9712 | Full 0.9856
Epoch 027 | Loss 0.0649 | Val 0.9784 | Full 0.9914
Epoch 028 | Loss 0.1037 | Val 0.9640 | Full 0.9842
Epoch 029 | Loss 0.0887 | Val 0.9568 | Full 0.9755
Epoch 030 | Loss 0.1633 | Val 0.9424 | Full 0.9741
Epoch 031 | Loss 0.0669 | Val 0.9353 | Full 0.9784
Epoch 032 | Loss 0.0352 | Val 0.9640 | Full 0.9914
Epoch 033 | Loss 0.0362 | Val 0.9712 | Full 0.9899
Epoch 034 | Loss 0.0240 | Val 0.9784 | Full 0.9928
Epoch 035 | Loss 0.0269 | Val 0.9640 | Full 0.9899
Epoch 036 | Loss 0.0190 | Val 0.9856 | Full 0.9942
Epoch 037 | Loss 0.0161 | Val 0.9856 | Full 0.9942
Epoch 038 | Loss 0.0277 | Val 0.9784 | Full 0.9928
Epoch 039 | Loss 0.0472 | Val 0.9640 | Full 0.9928
Epoch 040 | Loss 0.0274 | Val 0.9640 | Full 0.9871
Epoch 041 | Loss 0.0267 | Val 0.9568 | Full 0.9842
Epoch 042 | Loss 0.0736 | Val 0.9784 | Full 0.9914
Epoch 043 | Loss 0.0515 | Val 0.9568 | Full 0.9799
Epoch 044 | Loss 0.0769 | Val 0.9568 | Full 0.9914
Epoch 045 | Loss 0.0452 | Val 0.9784 | Full 0.9914
Epoch 046 | Loss 0.0298 | Val 0.9784 | Full 0.9957
Epoch 047 | Loss 0.0314 | Val 0.9712 | Full 0.9928
Epoch 048 | Loss 0.0125 | Val 0.9640 | Full 0.9914
Epoch 049 | Loss 0.0202 | Val 0.9856 | Full 0.9957
Epoch 050 | Loss 0.0294 | Val 0.9856 | Full 0.9957
