/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 666, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 082 | Loss 0.0101 | Val 0.9856 | Full 0.9971
Epoch 083 | Loss 0.0075 | Val 0.9856 | Full 0.9971
Epoch 084 | Loss 0.0094 | Val 0.9928 | Full 0.9986
Epoch 085 | Loss 0.0072 | Val 0.9928 | Full 0.9986
Epoch 086 | Loss 0.0238 | Val 0.9856 | Full 0.9971
Epoch 087 | Loss 0.0190 | Val 0.9784 | Full 0.9957
Epoch 088 | Loss 0.0165 | Val 0.9928 | Full 0.9986
Epoch 089 | Loss 0.0114 | Val 0.9712 | Full 0.9942
Epoch 090 | Loss 0.0236 | Val 0.9856 | Full 0.9971
Epoch 091 | Loss 0.0090 | Val 0.9856 | Full 0.9971
Epoch 092 | Loss 0.0082 | Val 0.9928 | Full 0.9986
Epoch 093 | Loss 0.0047 | Val 0.9856 | Full 0.9971
Epoch 094 | Loss 0.0118 | Val 0.9784 | Full 0.9957
Epoch 095 | Loss 0.0154 | Val 0.9856 | Full 0.9971
Epoch 096 | Loss 0.0093 | Val 0.9856 | Full 0.9971
Epoch 097 | Loss 0.0051 | Val 0.9856 | Full 0.9971
Epoch 098 | Loss 0.0215 | Val 0.9856 | Full 0.9971
Epoch 099 | Loss 0.0046 | Val 0.9928 | Full 0.9986
Epoch 100 | Loss 0.0073 | Val 0.9784 | Full 0.9957
  -> 本阶段最佳准确率 0.9986 (最小margin 0.6291)
Epoch 001 | Loss 0.0863 | Val 0.9496 | Full 0.9727
Epoch 002 | Loss 0.1133 | Val 0.9856 | Full 0.9928
Epoch 003 | Loss 0.0690 | Val 0.9640 | Full 0.9871
Epoch 004 | Loss 0.0793 | Val 0.9712 | Full 0.9942
Epoch 005 | Loss 0.0460 | Val 0.9640 | Full 0.9914
Epoch 006 | Loss 0.0193 | Val 0.9712 | Full 0.9942
Epoch 007 | Loss 0.0281 | Val 0.9640 | Full 0.9914
Epoch 008 | Loss 0.0427 | Val 0.9496 | Full 0.9842
Epoch 009 | Loss 0.0870 | Val 0.9784 | Full 0.9928
Epoch 010 | Loss 0.1494 | Val 0.9712 | Full 0.9928
Epoch 011 | Loss 0.0526 | Val 0.9640 | Full 0.9871
Epoch 012 | Loss 0.0404 | Val 0.9856 | Full 0.9971
Epoch 013 | Loss 0.0418 | Val 0.9568 | Full 0.9885
Epoch 014 | Loss 0.0160 | Val 0.9496 | Full 0.9813
Epoch 015 | Loss 0.0478 | Val 0.9568 | Full 0.9914
Epoch 016 | Loss 0.0804 | Val 0.9640 | Full 0.9871
Epoch 017 | Loss 0.0889 | Val 0.9640 | Full 0.9928
Epoch 018 | Loss 0.0175 | Val 0.9712 | Full 0.9928
Epoch 019 | Loss 0.0382 | Val 0.9784 | Full 0.9942
Epoch 020 | Loss 0.0280 | Val 0.9712 | Full 0.9770
