/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 999, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.7115 | Val 0.5540 | Full 0.5914
Epoch 002 | Loss 1.1877 | Val 0.6978 | Full 0.7353
Epoch 003 | Loss 0.7082 | Val 0.7698 | Full 0.8245
Epoch 004 | Loss 0.5100 | Val 0.8417 | Full 0.8417
Epoch 005 | Loss 0.4046 | Val 0.9281 | Full 0.9237
Epoch 006 | Loss 0.3382 | Val 0.9281 | Full 0.9410
Epoch 007 | Loss 0.2181 | Val 0.9353 | Full 0.9640
Epoch 008 | Loss 0.1895 | Val 0.9424 | Full 0.9655
Epoch 009 | Loss 0.1590 | Val 0.9784 | Full 0.9683
Epoch 010 | Loss 0.1401 | Val 0.9137 | Full 0.9266
Epoch 011 | Loss 0.1232 | Val 0.9712 | Full 0.9856
Epoch 012 | Loss 0.1088 | Val 0.9568 | Full 0.9568
Epoch 013 | Loss 0.1200 | Val 0.9281 | Full 0.9727
Epoch 014 | Loss 0.1281 | Val 0.9856 | Full 0.9856
Epoch 015 | Loss 0.1122 | Val 0.9784 | Full 0.9885
Epoch 016 | Loss 0.0602 | Val 0.9568 | Full 0.9727
Epoch 017 | Loss 0.1022 | Val 0.9784 | Full 0.9942
Epoch 018 | Loss 0.0791 | Val 0.9856 | Full 0.9942
Epoch 019 | Loss 0.0756 | Val 0.9856 | Full 0.9770
Epoch 020 | Loss 0.0784 | Val 0.9784 | Full 0.9928
Epoch 021 | Loss 0.0705 | Val 0.9496 | Full 0.9799
Epoch 022 | Loss 0.1032 | Val 0.9712 | Full 0.9928
Epoch 023 | Loss 0.0643 | Val 0.9856 | Full 0.9957
Epoch 024 | Loss 0.0821 | Val 0.9568 | Full 0.9885
Epoch 025 | Loss 0.0550 | Val 0.9712 | Full 0.9899
Epoch 026 | Loss 0.0573 | Val 0.9640 | Full 0.9813
Epoch 027 | Loss 0.1096 | Val 0.9712 | Full 0.9770
Epoch 028 | Loss 0.0929 | Val 0.9928 | Full 0.9957
Epoch 029 | Loss 0.0314 | Val 0.9856 | Full 0.9942
Epoch 030 | Loss 0.0626 | Val 0.9353 | Full 0.9727
Epoch 031 | Loss 0.1029 | Val 0.9784 | Full 0.9957
Epoch 032 | Loss 0.0364 | Val 0.9856 | Full 0.9957
Epoch 033 | Loss 0.0254 | Val 0.9856 | Full 0.9971
Epoch 034 | Loss 0.0321 | Val 0.9856 | Full 0.9971
Epoch 035 | Loss 0.0317 | Val 0.9856 | Full 0.9971
Epoch 036 | Loss 0.0118 | Val 0.9856 | Full 0.9971
Epoch 037 | Loss 0.0143 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0153 | Val 0.9784 | Full 0.9957
Epoch 039 | Loss 0.0225 | Val 0.9784 | Full 0.9957
Epoch 040 | Loss 0.0292 | Val 0.9784 | Full 0.9942
Epoch 041 | Loss 0.0163 | Val 0.9784 | Full 0.9942
Epoch 042 | Loss 0.0221 | Val 0.9640 | Full 0.9899
Epoch 043 | Loss 0.0138 | Val 0.9856 | Full 0.9971
Epoch 044 | Loss 0.0255 | Val 0.9496 | Full 0.9856
Epoch 045 | Loss 0.0341 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0165 | Val 0.9568 | Full 0.9899
Epoch 047 | Loss 0.0150 | Val 0.9640 | Full 0.9928
Epoch 048 | Loss 0.0287 | Val 0.9640 | Full 0.9871
Epoch 049 | Loss 0.0330 | Val 0.9856 | Full 0.9957
Epoch 050 | Loss 0.0348 | Val 0.9928 | Full 0.9986
Epoch 051 | Loss 0.0255 | Val 0.9712 | Full 0.9928
Epoch 052 | Loss 0.0248 | Val 0.9784 | Full 0.9957
Epoch 053 | Loss 0.0523 | Val 0.9856 | Full 0.9971
Epoch 054 | Loss 0.0375 | Val 0.9784 | Full 0.9957
Epoch 055 | Loss 0.0403 | Val 0.9928 | Full 0.9986
Epoch 056 | Loss 0.0070 | Val 0.9856 | Full 0.9971
Epoch 057 | Loss 0.0278 | Val 0.9784 | Full 0.9928
Epoch 058 | Loss 0.0320 | Val 0.9856 | Full 0.9971
Epoch 059 | Loss 0.0342 | Val 0.9784 | Full 0.9957
Epoch 060 | Loss 0.0174 | Val 0.9856 | Full 0.9971
Epoch 061 | Loss 0.0127 | Val 0.9784 | Full 0.9957
Epoch 062 | Loss 0.0118 | Val 0.9712 | Full 0.9942
Epoch 063 | Loss 0.0187 | Val 0.9784 | Full 0.9957
Epoch 064 | Loss 0.0085 | Val 0.9784 | Full 0.9957
Epoch 065 | Loss 0.0099 | Val 0.9784 | Full 0.9957
Epoch 066 | Loss 0.0096 | Val 0.9784 | Full 0.9957
Epoch 067 | Loss 0.0072 | Val 0.9856 | Full 0.9971
Epoch 068 | Loss 0.0280 | Val 0.9784 | Full 0.9957
Epoch 069 | Loss 0.0026 | Val 0.9784 | Full 0.9957
Epoch 070 | Loss 0.0046 | Val 0.9856 | Full 0.9971
Epoch 071 | Loss 0.0098 | Val 0.9856 | Full 0.9971
Epoch 072 | Loss 0.0247 | Val 0.9784 | Full 0.9957
Epoch 073 | Loss 0.0019 | Val 0.9784 | Full 0.9957
Epoch 074 | Loss 0.0050 | Val 0.9712 | Full 0.9942
Epoch 075 | Loss 0.0138 | Val 0.9856 | Full 0.9957
Epoch 076 | Loss 0.0214 | Val 0.9856 | Full 0.9971
Epoch 077 | Loss 0.0103 | Val 0.9928 | Full 0.9986
Epoch 078 | Loss 0.0160 | Val 0.9856 | Full 0.9971
Epoch 079 | Loss 0.0135 | Val 0.9856 | Full 0.9971
Epoch 080 | Loss 0.0209 | Val 0.9928 | Full 0.9986
Epoch 081 | Loss 0.0056 | Val 0.9928 | Full 0.9986
Epoch 082 | Loss 0.0067 | Val 0.9856 | Full 0.9971
Epoch 083 | Loss 0.0119 | Val 0.9784 | Full 0.9957
Epoch 084 | Loss 0.0029 | Val 0.9856 | Full 0.9971
Epoch 085 | Loss 0.0088 | Val 0.9856 | Full 0.9971
Epoch 086 | Loss 0.0114 | Val 0.9856 | Full 0.9971
Epoch 087 | Loss 0.0044 | Val 0.9856 | Full 0.9971
Epoch 088 | Loss 0.0029 | Val 0.9856 | Full 0.9971
Epoch 089 | Loss 0.0022 | Val 0.9856 | Full 0.9971
Epoch 090 | Loss 0.0441 | Val 0.9784 | Full 0.9942
Epoch 091 | Loss 0.0043 | Val 0.9856 | Full 0.9971
Epoch 092 | Loss 0.0032 | Val 0.9928 | Full 0.9986
Epoch 093 | Loss 0.0036 | Val 0.9784 | Full 0.9957
Epoch 094 | Loss 0.0084 | Val 0.9856 | Full 0.9971
Epoch 095 | Loss 0.0046 | Val 0.9856 | Full 0.9971
Epoch 096 | Loss 0.0122 | Val 0.9856 | Full 0.9971
Epoch 097 | Loss 0.0063 | Val 0.9856 | Full 0.9971
Epoch 098 | Loss 0.0025 | Val 0.9784 | Full 0.9957
Epoch 099 | Loss 0.0095 | Val 0.9856 | Full 0.9971
Epoch 100 | Loss 0.0008 | Val 0.9928 | Full 0.9986
  -> 本阶段最佳准确率 0.9986 (最小margin 0.6138)
Epoch 001 | Loss 0.0735 | Val 0.9568 | Full 0.9856
Epoch 002 | Loss 0.0407 | Val 0.9784 | Full 0.9957
Epoch 003 | Loss 0.0373 | Val 0.9712 | Full 0.9928
Epoch 004 | Loss 0.0291 | Val 0.9784 | Full 0.9957
Epoch 005 | Loss 0.0238 | Val 0.9784 | Full 0.9957
Epoch 006 | Loss 0.0371 | Val 0.9856 | Full 0.9957
Epoch 007 | Loss 0.0210 | Val 0.9856 | Full 0.9971
Epoch 008 | Loss 0.0744 | Val 0.9784 | Full 0.9899
Epoch 009 | Loss 0.0447 | Val 0.9712 | Full 0.9914
Epoch 010 | Loss 0.0148 | Val 0.9784 | Full 0.9928
Epoch 011 | Loss 0.0239 | Val 0.9784 | Full 0.9957
Epoch 012 | Loss 0.0797 | Val 0.9568 | Full 0.9856
Epoch 013 | Loss 0.1041 | Val 0.9424 | Full 0.9770
Epoch 014 | Loss 0.0916 | Val 0.9784 | Full 0.9914
Epoch 015 | Loss 0.0665 | Val 0.9784 | Full 0.9942
Epoch 016 | Loss 0.0158 | Val 0.9568 | Full 0.9914
Epoch 017 | Loss 0.0505 | Val 0.9784 | Full 0.9914
Epoch 018 | Loss 0.0547 | Val 0.9784 | Full 0.9914
Epoch 019 | Loss 0.0439 | Val 0.9784 | Full 0.9899
Epoch 020 | Loss 0.0338 | Val 0.9856 | Full 0.9957
Epoch 021 | Loss 0.0639 | Val 0.9784 | Full 0.9942
Epoch 022 | Loss 0.0170 | Val 0.9496 | Full 0.9770
Epoch 023 | Loss 0.0239 | Val 0.9856 | Full 0.9971
Epoch 024 | Loss 0.0368 | Val 0.9856 | Full 0.9971
Epoch 025 | Loss 0.0641 | Val 0.9856 | Full 0.9971
Epoch 026 | Loss 0.0192 | Val 0.9640 | Full 0.9914
Epoch 027 | Loss 0.0135 | Val 0.9784 | Full 0.9928
Epoch 028 | Loss 0.0387 | Val 0.9424 | Full 0.9827
Epoch 029 | Loss 0.0412 | Val 0.9640 | Full 0.9899
Epoch 030 | Loss 0.0158 | Val 0.9712 | Full 0.9899
Epoch 031 | Loss 0.0639 | Val 0.9712 | Full 0.9928
Epoch 032 | Loss 0.0107 | Val 0.9640 | Full 0.9928
Epoch 033 | Loss 0.0055 | Val 0.9784 | Full 0.9957
Epoch 034 | Loss 0.0243 | Val 0.9712 | Full 0.9942
Epoch 035 | Loss 0.0141 | Val 0.9712 | Full 0.9942
Epoch 036 | Loss 0.0042 | Val 0.9784 | Full 0.9957
Epoch 037 | Loss 0.0090 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0096 | Val 0.9856 | Full 0.9971
Epoch 039 | Loss 0.0218 | Val 0.9856 | Full 0.9971
Epoch 040 | Loss 0.0026 | Val 0.9784 | Full 0.9957
Epoch 041 | Loss 0.0186 | Val 0.9784 | Full 0.9957
Epoch 042 | Loss 0.0086 | Val 0.9784 | Full 0.9942
Epoch 043 | Loss 0.0109 | Val 0.9784 | Full 0.9957
Epoch 044 | Loss 0.0103 | Val 0.9784 | Full 0.9957
Epoch 045 | Loss 0.0068 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0360 | Val 0.9712 | Full 0.9942
Epoch 047 | Loss 0.0045 | Val 0.9856 | Full 0.9971
Epoch 048 | Loss 0.0046 | Val 0.9856 | Full 0.9971
Epoch 049 | Loss 0.0056 | Val 0.9712 | Full 0.9942
Epoch 050 | Loss 0.0047 | Val 0.9784 | Full 0.9957
Epoch 051 | Loss 0.0035 | Val 0.9856 | Full 0.9971
Epoch 052 | Loss 0.0048 | Val 0.9856 | Full 0.9971
Epoch 053 | Loss 0.0101 | Val 0.9856 | Full 0.9971
Epoch 054 | Loss 0.0268 | Val 0.9856 | Full 0.9971
Epoch 055 | Loss 0.0086 | Val 0.9856 | Full 0.9971
Epoch 056 | Loss 0.0062 | Val 0.9856 | Full 0.9971
Epoch 057 | Loss 0.0048 | Val 0.9856 | Full 0.9957
Epoch 058 | Loss 0.0030 | Val 0.9856 | Full 0.9971
Epoch 059 | Loss 0.0059 | Val 0.9712 | Full 0.9942
Epoch 060 | Loss 0.0054 | Val 0.9784 | Full 0.9957
Epoch 061 | Loss 0.0042 | Val 0.9784 | Full 0.9957
Epoch 062 | Loss 0.0167 | Val 0.9712 | Full 0.9942
Epoch 063 | Loss 0.0052 | Val 0.9856 | Full 0.9971
Epoch 064 | Loss 0.0017 | Val 0.9856 | Full 0.9971
Epoch 065 | Loss 0.0025 | Val 0.9856 | Full 0.9971
Epoch 066 | Loss 0.0012 | Val 0.9856 | Full 0.9971
Epoch 067 | Loss 0.0012 | Val 0.9784 | Full 0.9957
Epoch 068 | Loss 0.0020 | Val 0.9784 | Full 0.9957
Epoch 069 | Loss 0.0006 | Val 0.9784 | Full 0.9957
Epoch 070 | Loss 0.0007 | Val 0.9784 | Full 0.9957
Epoch 071 | Loss 0.0006 | Val 0.9784 | Full 0.9957
Epoch 072 | Loss 0.0006 | Val 0.9784 | Full 0.9957
Epoch 073 | Loss 0.0061 | Val 0.9784 | Full 0.9957
Epoch 074 | Loss 0.0026 | Val 0.9856 | Full 0.9971
Epoch 075 | Loss 0.0053 | Val 0.9712 | Full 0.9942
Epoch 076 | Loss 0.0005 | Val 0.9712 | Full 0.9942
Epoch 077 | Loss 0.0071 | Val 0.9712 | Full 0.9942
Epoch 078 | Loss 0.0010 | Val 0.9856 | Full 0.9971
Epoch 079 | Loss 0.0028 | Val 0.9784 | Full 0.9957
Epoch 080 | Loss 0.0107 | Val 0.9784 | Full 0.9957
Epoch 081 | Loss 0.0085 | Val 0.9712 | Full 0.9942
Epoch 082 | Loss 0.0092 | Val 0.9712 | Full 0.9942
Epoch 083 | Loss 0.0023 | Val 0.9784 | Full 0.9957
Epoch 084 | Loss 0.0114 | Val 0.9784 | Full 0.9957
Epoch 085 | Loss 0.0027 | Val 0.9784 | Full 0.9957
Epoch 086 | Loss 0.0036 | Val 0.9784 | Full 0.9957
Epoch 087 | Loss 0.0046 | Val 0.9784 | Full 0.9957
Epoch 088 | Loss 0.0031 | Val 0.9784 | Full 0.9957
Epoch 089 | Loss 0.0004 | Val 0.9784 | Full 0.9957
Epoch 090 | Loss 0.0016 | Val 0.9784 | Full 0.9957
Epoch 091 | Loss 0.0017 | Val 0.9784 | Full 0.9957
Epoch 092 | Loss 0.0017 | Val 0.9784 | Full 0.9957
Epoch 093 | Loss 0.0004 | Val 0.9784 | Full 0.9957
Epoch 094 | Loss 0.0007 | Val 0.9784 | Full 0.9957
Epoch 095 | Loss 0.0008 | Val 0.9784 | Full 0.9957
Epoch 096 | Loss 0.0015 | Val 0.9784 | Full 0.9957
Epoch 097 | Loss 0.0025 | Val 0.9784 | Full 0.9957
Epoch 098 | Loss 0.0038 | Val 0.9784 | Full 0.9957
Epoch 099 | Loss 0.0035 | Val 0.9784 | Full 0.9957
Epoch 100 | Loss 0.0010 | Val 0.9784 | Full 0.9957
  -> 本阶段最佳准确率 0.9971 (最小margin 0.7443)
Epoch 001 | Loss 0.0140 | Val 0.9784 | Full 0.9957
Epoch 002 | Loss 0.0200 | Val 0.9640 | Full 0.9928
Epoch 003 | Loss 0.0137 | Val 0.9928 | Full 0.9986
Epoch 004 | Loss 0.0103 | Val 0.9784 | Full 0.9928
Epoch 005 | Loss 0.0051 | Val 0.9712 | Full 0.9914
Epoch 006 | Loss 0.0296 | Val 0.9784 | Full 0.9942
Epoch 007 | Loss 0.0324 | Val 0.9712 | Full 0.9899
Epoch 008 | Loss 0.1532 | Val 0.9784 | Full 0.9928
Epoch 009 | Loss 0.0587 | Val 0.8993 | Full 0.9338
Epoch 010 | Loss 0.0206 | Val 0.9712 | Full 0.9827
Epoch 011 | Loss 0.0734 | Val 0.9928 | Full 0.9986
Epoch 012 | Loss 0.0155 | Val 0.9784 | Full 0.9928
Epoch 013 | Loss 0.0457 | Val 0.9712 | Full 0.9899
Epoch 014 | Loss 0.0397 | Val 0.9856 | Full 0.9957
Epoch 015 | Loss 0.0554 | Val 0.9856 | Full 0.9957
Epoch 016 | Loss 0.0234 | Val 0.9784 | Full 0.9942
Epoch 017 | Loss 0.0868 | Val 0.9856 | Full 0.9957
Epoch 018 | Loss 0.0308 | Val 0.9353 | Full 0.9770
Epoch 019 | Loss 0.0492 | Val 0.9784 | Full 0.9942
Epoch 020 | Loss 0.0106 | Val 0.9496 | Full 0.9827
Epoch 021 | Loss 0.0162 | Val 0.9712 | Full 0.9942
Epoch 022 | Loss 0.0262 | Val 0.9712 | Full 0.9899
Epoch 023 | Loss 0.0083 | Val 0.9712 | Full 0.9899
Epoch 024 | Loss 0.0303 | Val 0.9856 | Full 0.9971
Epoch 025 | Loss 0.0288 | Val 0.9856 | Full 0.9971
Epoch 026 | Loss 0.0469 | Val 0.9568 | Full 0.9799
